Gene_symbol	Human_entrez	Rat_entrez	Mouse_entrez	Gene_Name	Synonym	DbTF	PMID	Uniprot_Human	Uniprot_Rat	Uniprot_mouse
ERCC6	"excision repair cross-complementing rodent repair deficiency, complementation group 6"	2074	306274	319955	ARMD5|CKN2|COFS|COFS1|CSB|RAD26|UVSS1	0	0	Q03468	D3ZS47	F8VPZ5
ERCC8	"excision repair cross-complementing rodent repair deficiency, complementation group 8"	1161	310071	71991	CKN1|CSA|UVSS2	0	0	Q13216	G3V7B8	Q8CFD5
ERF	"Ets2 repressor factor"	2077	292721	13875	PE-2|PE2	yes	12533699	P50548	D3ZJW0	P70459
ERG	"v-ets erythroblastosis virus E26 oncogene homolog (avian)"	2078	170909	13876	ERG-3|P55	yes	22117042	B4DVX5,P11308,B4DN83	Q91XV5	P81270
ERGIC2	"ERGIC and golgi 2"	51290	297728	67456	ERV41|PTX1|CD002	0	0	Q86TD3,Q96RQ1	Q5XIS4	B2KFC7,Q9CR89
ERI2	"ERI1 exoribonuclease family member 2"	112479	691484	71151	EXOD1	0	0	A8K979	D4A625	Q5BKS4
ERMP1	"endoplasmic reticulum metallopeptidase 1"	79956	373544	226090	FXNA|KIAA1815|BA207C16.3	0	0	Q6ZMD3,Q7Z2K6,B3KSB1	Q6UPR8	Q3UVK0
ESPL1	"extra spindle pole bodies homolog 1 (S. cerevisiae)"	9700	315330	105988	ESP1|SEPA	0	0	Q14674		P60330
ESR1	"estrogen receptor 1"	2099	24890	13982	ER|ESR|ESRA|ERA|NR3A1	yes	"10908317, 16636675"	Q9UBT1,G4XH65,P03372	P06211	E7FJU2,P19785
ESR2	"estrogen receptor 2 (ER beta)"	2100	25149	13983	ER-BETA|ESR-BETA|ESRB|ESTRB|ERB|NR3A2	yes	"9058381, 12047722, 16484337"	Q92731,F1D8N3,Q7LCB3	Q62986	O08537
ESRRA	"estrogen-related receptor alpha"	2101	293701	26379	ERR1|ERRA|ERRALPHA|ESRL1|NR3B1	yes	9271417	P11474,Q569H8	Q5QJV7	O08580
ESRRB	"estrogen-related receptor beta"	2103	299210	26380	DFNB35|ERR2|ERRB|ESRL2|NR3B2	yes	"8626619, 15766247"	O95718	P11475	G5E8P8,Q80VS1,E9QKA2,Q8CCV5,Q61539
ESRRG	"estrogen-related receptor gamma"	2104	360896	26381	ERR3|ERRGAMMA|NR3B3	yes	15149736	F8W8J3,B7Z5E9,F1D8R6,F1D8R5,P62508,C0SQ93,B3KY84,E9PGB7	P62510	P62509
ESX1	"ESX homeobox 1"	80712	0	13984	ESX1L|ESXR1	yes	10611245	Q8N693		O88933
ETOHI1	"ethanol induced 1"	0	0	626848		0	0			A2BFG8,Q3V498
ETS1	"v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)"	2113	24356	23871	ETS-1|EWSR2	yes	12119294	F5GYX9,P14921,A8K725,B4DW78	P41156	Q8BVW8,Q540Q5,E9PWI8,P27577,Q8K3Q9
ETS2	"v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)"	2114	304063	23872	ETS2IT1	yes	12637547	P15036	D4AAH4	Q3UP99,P15037
ETV1	"ets variant 1"	2115	362733	14009	ER81	yes	12750007	P50549,F5GXR2,E9PHB1,B7Z618,B7Z2C9	F1LU59,B5DEZ2	Q549J8,Q8CCR6,P41164
ETV2	"ets variant 2"	2116	361544	14008	ER71|ETSRP71	yes	"16619273, 1340465"	B3KUL0	D3ZEY9	P41163
ETV3	"ets variant 3"	2117	295297	27049	METS|PE-1|PE1|BA110J1.4	yes	12007404	P41162	G3V813	Q8R4Z4
ETV3L	"ets variant 3-like"	440695	499651	546801	-	0	0	Q6ZN32	A0JPP2	
ETV4	"ets variant 4"	2118	360635	18612	E1A-F|E1AF|PEA3|PEAS3	yes	15466854	B7Z9J6,B7Z5J3,P43268		Q3UMZ6
ETV5	"ets variant 5"	2119	303828	104156	ERM	yes	"15138262, 15466854, 15857832"	P41161	D4AC56	Q9CXC9
ETV6	"ets variant 6"	2120	312777	14011	TEL|TEL/ABL	yes	10514502	P41212	Q3KRD1	Q80WR3,P97360
ETV7	"ets variant 7"	51513	0	0	TEL-2|TEL2|TELB	yes	11108721	Q9Y603		
EVX1	"even-skipped homeobox 1"	2128	500130	14028	-	0	0	P49640	F1LQ30	P23683
EVX2	"even-skipped homeobox 2"	344191	288155	14029	EVX-2	0	0	Q03828		A2ASM4,P49749
EWSR1	"Ewing sarcoma breakpoint region 1"	2130	289752	14030	EWS|BK984G1.4	yes	19305498	B0QYK1,Q96MN4,Q01844	B1WC50	Q61545
EXOC2	"exocyst complex component 2"	55770	171455	66482	SEC5|SEC5L1|SEC5P	0	0	Q96KP1	O54921	Q9D4H1,Q5SUZ6
EYA1	"eyes absent homolog 1 (Drosophila)"	2138	502935	14048	BOP|BOR|BOS1	0	0	G5E9R4,Q99502,Q8WX80		Q6PAJ8,Q8C9D0
EYA2	"eyes absent homolog 2 (Drosophila)"	2139	156826	14049	EAB1	0	0	O00167	Q6UN47	O08575
EYA3	"eyes absent homolog 3 (Drosophila)"	2140	313027	14050	-	0	0	Q99504	D3ZHX6	Q6P4T3,P97480
EYA4	"eyes absent homolog 4 (Drosophila)"	2070	292172	14051	CMD1J|DFNA10	0	0	Q96CJ7,O95677		Q8BY78
EZH1	"enhancer of zeste homolog 1 (Drosophila)"	2145	303547	14055	KMT6B	0	0	Q92800		P70351
EZH2	"enhancer of zeste homolog 2 (Drosophila)"	2146	312299	14056	ENX-1|ENX1|EZH1|KMT6|KMT6A|WVS2	0	0	Q15910	B5DFE2	Q61188,Q6AXH7,Q571L5,Q3TZH6
FAIM3	"Fas apoptotic inhibitory molecule 3"	9214	548326	69169	FCMR|TOSO	0	0	O60667,D9MWM3	Q5M871	A1KXC4
FAM170A	"family with sequence similarity 170, member A"	340069	498864	225497	ZNFD	yes	20162441	A1A519		Q66LM6
FAM171B	"family with sequence similarity 171, member B"	165215	499821	241520	KIAA1946	0	0	Q6P995	D3ZTG3	Q14CH0
FAM189B	"family with sequence similarity 189, member B"	10712	310640	68521	C1ORF2|COTE1	0	0	B1AVS5,Q9Y6J7,P81408		Q5HZJ5
FAM48A	"suppressor of Ty 20 homolog (S. cerevisiae)"	55578	361946	56790	C13|C13ORF19|P38IP|SPT20|BA421P11.4	yes	12070015	Q8NEM7	Q66HC7	Q7TT00
FANK1	"fibronectin type III and ankyrin repeat domains 1"	92565	309071	66930	-	0	0	Q8TC84	Q66H07	Q9DAM9
FARSA	"phenylalanyl-tRNA synthetase, alpha subunit"	2193	288917	66590	CML33|FARSL|FARSLA|FRSA|PHEHA	0	0	Q6IBR2,Q9Y285	Q505J8	Q8C0C7
FARSB	"phenylalanyl-tRNA synthetase, beta subunit"	10056	301544	23874	FARSLB|FRSB|PHEHB|PHERS	0	0	Q9NSD9	Q68FT7	Q9WUA2
FBN1	"fibrillin 1"	2200	83727	14118	ACMICD|ECTOL1|FBN|GPHYSD2|MASS|MFS1|OCTD|SGS|SSKS|WMS|WMS2	0	0	P35555	Q9WUH8	A2AQ53
FBXL19	"F-box and leucine-rich repeat protein 19"	54620	308999	233902	FBL19|JHDM1C	0	0	Q6PCT2	D4A2L9	Q6PB97
FBXO41	"F-box protein 41"	150726	312504	330369	FBX41	0	0	Q8TF61		Q6NS60,Q3UGY7
FBXO7	"F-box protein 7"	25793	366854	69754	FBX|FBX07|FBX7|PARK15|PKPS	0	0	Q9Y3I1,B4DWX5,Q5TI86	Q68FS3	Q3U7U3
FBXW7	"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"	55294	100360914	50754	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|HAGO|HCDC4	0	0	Q969H0,G0Z2K0		D3YUA5,Q8VBV4
FEM1A	"fem-1 homolog a (C. elegans)"	55527	316131	14154	EPRAP	0	0	Q9BSK4	Q4V890	Q9Z2G1
FERD3L	"Fer3-like (Drosophila)"	222894	366598	114712	N-TWIST|NATO3|NTWIST|BHLHA31	yes	12217327	Q96RJ6	D4A114	Q923Z4
FEV	"FEV (ETS oncogene family)"	54738	246271	260298	HSRNAFEV|PET-1	yes	9468386	Q99581	O70132	Q8QZW2
FEZF1	"FEZ family zinc finger 1"	389549	500048	73191	FEZ|ZNF312B	yes	19318583	A0PJY2	D3ZPD6	Q0VDQ9
FEZF2	"FEZ family zinc finger 2"	55079	305719	54713	FEZ|FEZL|TOF|ZFP312|ZNF312	yes	20431123	Q8TBJ5	B4F7C0	Q9ESP5
FGD1	"FYVE, RhoGEF and PH domain containing 1"	2245	363460	14163	AAS|FGDY|MRXS16|ZFYVE3	0	0	P98174	Q2YDU5	P52734
FHL1	"four and a half LIM domains 1"	2273	25177	14199	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	0	0	Q13642,B7Z9A1	Q8K3G3,Q6P792,Q9WUH4	A2AEY3,A2AEX8,P97447,A2AEY2
FHL2	"four and a half LIM domains 2"	2274	63839	14200	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	0	0	Q14192,Q2XQU9,Q6I9R8	O35115	Q543D7,O70433
FHL5	"four and a half LIM domains 5"	9457	297954	57756	ACT|RP3-393D12.2|DJ393D12.2	0	0	Q5TD97	Q6AXT1	B1AWL9,Q9WTX7
FIGLA	"folliculogenesis specific basic helix-loop-helix"	344018	500239	26910	BHLHC8|FIGALPHA|POF6	yes	"9362457, 15044608"	Q6QHK4	D4AD65	O55208,H6UWL1
FIZ1	"FLT3-interacting zinc finger 1"	84922	292584	23877	ZNF798	0	0	Q96SL8	D3ZP93	Q9WTJ4,Q3TRV0
FLI1	"Friend leukemia virus integration 1"	2313	315532	14247	EWSR2|SIC-1	yes	"1445800, 8449942, 8449942, 8502483, 12065417, 14570912"	Q01543,B4DTC6,B4DFV4,G3V183	Q4Z8P1	Q544B3,P26323
FLJ46838	"FLJ46838 protein"	440865	0	0	-	0	0			
FLNA	"filamin A, alpha"	2316	293860	192176	ABP-280|ABPX|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	0	0	Q6NXF2,Q60FE5,P21333	C0JPT7	Q3U7N9,B7FAU9,Q8BTM8,Q6KAM8
FMNL2	"formin-like 2"	114793	311033	71409	FHOD2	0	0	Q96PY5		Q8BI52,F8VPR2,A2APV2
FMR1	"fragile X mental retardation 1"	2332	24948	14265	FMRP|FRAXA|POF|POF1	0	0	G8JL90,Q06787,G8JLE9	Q80WE1	Q6AXB7
FOS	"FBJ murine osteosarcoma viral oncogene homolog"	2353	314322	14281	AP-1|C-FOS|P55	yes	"8798512, 11925568, 15073183"	P01100,Q6FG41	P12841	P01101
FOSB	"FBJ murine osteosarcoma viral oncogene homolog B"	2354	100360880	14282	AP-1|G0S3|GOS3|GOSB	yes	"2498083, 14515349, 16699069"	E9PHJ3,A8VJE1,P53539		A2RSD4,P13346
FOSL1	"FOS-like antigen 1"	8061	25445	14283	FRA|FRA1|FRA-1	yes	"7791782, 15608675"	P15407	P10158	Q3UMK5,P48755
FOSL2	"FOS-like antigen 2"	2355	25446	14284	FRA2	yes	"13679379, 15558021"	P15408,Q9H5M2	Q62738,P51145	P47930
FOXA1	"forkhead box A1"	3169	25098	15375	HNF3A|TCF3A	yes	"2227418, 15485926, 20018680"	P55317	P23512	P35582
FOXA2	"forkhead box A2"	3170	25099	15376	HNF3B|TCF3B	yes	16847327	Q9Y261,B0ZTD4	P32182	P35583
FOXA3	"forkhead box A3"	3171	25100	15377	FKHH3|HNF3G|TCF3G	yes	19919681	P55318	P32183	P35584
FOXB1	"forkhead box B1"	27023	367106	64290	FKH5|HFKH-5	yes	"10662642, 12297093"	Q99853	Q5FVH9	Q64732
FOXB2	"forkhead box B2"	442425	691398	14240	BA159H20.4	yes	12297093	Q5VYV0		B9EII5,Q64733
FOXC1	"forkhead box C1"	2296	364706	17300	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	yes	"12533514, 15684392"	Q12948		Q61572
FOXC2	"forkhead box C2 (MFH-1, mesenchyme forkhead 1)"	2303	171356	14234	FKHL14|LD|MFH-1|MFH1	yes	20956529	Q99958		Q61850,B9EI61
FOXD1	"forkhead box D1"	2297	171299	15229	FKHL8|FREAC4	yes	13678594	Q16676		Q61345
FOXD2	"forkhead box D2"	2306	313504	17301	FKHL17|FREAC-9|FREAC9	yes	12621056	O60548		O35392
FOXD3	"forkhead box D3"	27022	29203	15221	AIS1|GENESIS|HFH2|VAMAS2	yes	8139574	Q9UJU5		Q61060,A2BDY3
FOXD4	"forkhead box D4"	2298	252886	14237	FKHL9|FOXD4A|FREAC-5|FREAC5	yes	"7957066, 17889656"	Q12950		Q60688
FOXD4L1	"forkhead box D4-like 1"	200350	0	0	FOXD5|BA395L14.1	yes	20650821	B3KVK3,Q9NU39		
FOXD4L2	"forkhead box D4-like 2"	100036519	0	0	-	0	0	Q6VB85,Q8WXT5		
FOXD4L3	"forkhead box D4-like 3"	286380	0	0	FOXD4L2|FOXD6	yes	15492844	Q6VB84		
FOXD4L4	"forkhead box D4-like 4"	349334	0	0	FOXD4B|BA460E7.2	0	0	Q6VB85,Q8WXT5		
FOXD4L5	"forkhead box D4-like 5"	653427	0	0	BA15J10.2	yes	20081217	Q5VV16		
FOXD4L6	"forkhead box D4-like 6"	653404	0	0	-	yes	20081217	Q3SYB3		
FOXE1	"forkhead box E1 (thyroid transcription factor 2)"	2304	192274	110805	FKHL15|FOXE2|HFKH4|HFKL5|TITF2|TTF-2|TTF2	yes	10465294	O00358	O08771	Q8R2I0
FOXE3	"forkhead box E3"	2301	171302	30923	FKHL12|FREAC8	yes	12882633	Q13461	G3V6Y8	A2AD44,Q9QY14
FOXF1	"forkhead box F1"	2294	246073	15227	ACDMPV|FKHL5|FREAC1	yes	"8626802, 8626802"	Q12946		Q61080
FOXF2	"forkhead box F2"	2295	0	14238	FKHL6|FREAC-2|FREAC2	yes	8626802	Q12947		O54743
FOXG1	"forkhead box G1"	2290	24370	15228	BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN	yes	17889656	P55316	Q00939	Q3V1Q8,Q60987
FOXH1	"forkhead box H1"	8928	300054	14106	FAST-1|FAST1	yes	15982639	O75593	G3V7Y6	Q0VEP8,O88621
FOXI1	"forkhead box I1"	2299	287185	14233	FKH10|FKHL10|FREAC-6|FREAC6|HFH-3|HFH3	yes	9153225	Q12951,E0XEN6	D4A7G2	Q922I5
FOXI2	"forkhead box I2"	399823	246073	270004	-	yes	16289364	Q6ZQN5		A2RTG9,Q3I5G5
FOXI3	"forkhead box I3"	344167	502846	232077	-	0	0	A8MTJ6	D3ZLN2	D3Z120
FOXJ1	"forkhead box J1"	2302	116557	15223	FKHL13|HFH-4|HFH4	yes	15516968	Q92949	Q63247	Q640Q8,Q61660
FOXJ2	"forkhead box J2"	55810	502886	60611	FHX	yes	10777590	Q9P0K8	D3Z992	Q9ES18
FOXJ3	"forkhead box J3"	22887	313554	230700	-	yes	17923097	Q9UPW0	D3ZDB6	Q8BUR3
FOXK1	"forkhead box K1"	221937	304298	17425	FOXK1L	yes	"8007964, 9271401"	P85037	D3ZU55	P42128
FOXK2	"forkhead box K2"	3607	303753	68837	ILF|ILF-1|ILF1	yes	12402362	Q01167		Q3UCQ1
FOXL1	"forkhead box L1"	2300	0	14241	FKH6|FKHL11|FREAC7	yes	7957066	Q12952,Q498Y4		Q64731
FOXL2	"forkhead box L2"	668	367152	26927	BPES|BPES1|PFRK|PINTO|POF3	yes	15059956	Q53ZD3,P58012	D4A0S1	Q2TVT7,O88470
FOXM1	"forkhead box M1"	2305	58921	14235	FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TGT3|TRIDENT	yes	9108152	Q53Y49,A8K591,Q08050	D3ZLE1	Q6P1H7
FOXN1	"forkhead box N1"	8456	287469	15218	FKHL20|RONU|WHN	yes	9108066	O15353		Q61575,Q5SYK1
FOXN2	"forkhead box N2"	3344	301676	14236	HTLF	yes	17923097	P32314		E9Q7L6
FOXN3	"forkhead box N3"	1112	314374	71375	C14ORF116|CHES1|PRO1635	yes	17923097	O00409	D3ZIJ7	Q499D0
FOXN4	"forkhead box N4"	121643	288736	116810	-	yes	17075007	Q96NZ1,A6H901		Q8K3Q3
FOXO1	"forkhead box O1"	2308	84482	56458	FKH1|FKHR|FOXO1A	yes	10385407	Q12778	G3V7R4	Q9R1E0
FOXO3	"forkhead box O3"	2309	294515	56484	AF6Q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	yes	10102273	O43524	D3ZBQ1	Q9WVH4
FOXO3B	"forkhead box O3B pseudogene"	2310	0	0	FKHRL1P1|ZNF286C	0	0			
FOXO4	"forkhead box O4"	4303	302415	54601	AFX|AFX1|MLLT7	yes	11777915	P98177	D4A433	B1AUT3,Q9WVH3
FOXO6	"forkhead box O6"	100132074	313558	329934	-	yes	15987244			Q70KY4
FOXP1	"forkhead box P1"	27086	297480	108655	12CC4|QRF1|HFKH1B	yes	18640093	Q8NAN6,E9PFD3,G5E9V8,B3KV70,Q548T7,Q8N2P0,Q9H334,Q8TEA2	Q498D1	P58462
FOXP2	"forkhead box P2"	93986	500037	114142	CAGH44|SPCH1|TNRC10	yes	"11358962, 14701752"	Q8N6B6,Q8N6B5,O15409,B7ZLK5	P0CF24	P58463
FOXP3	"forkhead box P3"	50943	317382	20371	AIID|DIETER|IPEX|PIDX|XPID	yes	17028180	Q9BZS1	D3ZKI1	Q53Z59,Q99JB6
FOXP4	"forkhead box P4"	116113	363185	74123	HFKHLA	yes	14701752	Q8IVH2	D3ZPZ7	Q9DBY0
FOXQ1	"forkhead box Q1"	94234	64826	15220	HFH1	yes	10896677	Q9C009	Q63244	O70220
FOXR1	"forkhead box R1"	283150	315601	382074	FOXN5	yes	17923097	Q6PIV2		Q3UTB7
FOXR2	"forkhead box R2"	139628	302583	436240	FOXN6	yes	17923097	Q6PJQ5	D4ADV2	Q3UM89
FOXS1	"forkhead box S1"	2307	311547	14239	FKHL18|FREAC10	yes	18288644	O43638	Q5HZE9	Q61574,Q4VA05
FUBP1	"far upstream element (FUSE) binding protein 1"	8880	654496	51886	FBP|FUBP	yes	"19637194, 8125259"	Q96AE4	Q32PX7	Q3TUE1
FUBP3	"far upstream element (FUSE) binding protein 3"	8939	362106	320267	FBP3	yes	19087307	Q96I24	Q2QC85	Q3TIX6
FUS	"fused in sarcoma"	2521	317385	233908	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	0	0	Q13344,Q6IBQ5,P35637	Q5PQK2	Q564D0,P56959,Q3USY4
FXR1	"fragile X mental retardation, autosomal homolog 1"	8087	361927	14359	FXR1P	0	0	P51114	Q5XI81	Q61584
FXR2	"fragile X mental retardation, autosomal homolog 2"	9513	287433	23879	FMR1L2|FXR2P	0	0	P51116	B1H2A6	Q6P5B5
GABPA	"GA binding protein transcription factor, alpha subunit 60kDa"	2551	363735	14390	E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07	yes	"10773883, 15361867"	Q06546,Q8IYS3,A8IE48	D4ACQ9	Q00422
GABPB1	"GA binding protein transcription factor, beta subunit 1"	2553	499883	14391	BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4TF1B|GABPB|GABPB2|NRF2B1|NRF2B2	0	0	Q06547	Q4KM28	Q3US22,Q00420
GADD45A	"growth arrest and DNA-damage-inducible, alpha"	1647	25112	13197	DDIT1|GADD45	0	0	A5JUZ3,P24522	Q66HL6	P48316,Q3UMH6
GAS7	"growth arrest-specific 7"	8522	85246	14457	MLL/GAS7	0	0	O60861		Q3U8N2,Q3U432,Q0VBR8
GATA1	"GATA binding protein 1 (globin transcription factor 1)"	2623	25172	14460	ERYF1|GATA-1|GF-1|GF1|NFE1|XLANP|XLTDA|XLTT	yes	"1650452, 2725678"	P15976	P43429	P17679
GATA2	"GATA binding protein 2"	2624	25159	14461	DCML|MONOMAC|NFE1B	yes	"9565596, 14512418"	P23769	B2DBE1,Q924Y4	Q3U320,O09100
GATA3	"GATA binding protein 3"	2625	85471	14462	HDR|HDRS	yes	8332492	P23771	Q99NH5	P23772,Q3U0R5
GATA4	"GATA binding protein 4"	2626	54254	14463	ASD2|VSD1	yes	8455608	P43694	P46152	Q08369,B9EHF7,Q3UYJ1
GATA5	"GATA binding protein 5"	140628	499951	14464	BB379O24.1	yes	"10212267, 11408257"	Q9BWX5,D9ZGF7	Q5U2V0	P97489
GATA6	"GATA binding protein 6"	2627	29300	14465	-	yes	"14988427, 21076612"	Q53EU2,Q92908	P46153	Q61169
GATAD1	"GATA zinc finger domain containing 1"	57798	500005	67210	CMD2B|ODAG|RG083M05.2	0	0	Q8WUU5	D4A3T2	Q920S3
GATAD2A	"GATA zinc finger domain containing 2A"	54815	290669	234366	P66ALPHA	0	0	Q86YP4	G3V8R7	E9QMN5,Q8CHY6
GATAD2B	"GATA zinc finger domain containing 2B"	57459	310614	229542	P66BETA|RP11-216N14.6	0	0	Q8WXI9	Q4V8E1	Q8VHR5
GBX1	"gastrulation brain homeobox 1"	2636	246149	231044	-	yes	"16193514, 16193514"	Q14549		P82976
GBX2	"gastrulation brain homeobox 2"	2637	114500	14472	-	yes	10690529	P52951	G3V8J6	P48031
GCFC1	"PAX3 and PAX7 binding protein 1"	94104	681004	67367	BM020|C21ORF66|FSAP105|GCFC	0	0	Q9Y5B6,Q8N6E6	D4A8C8	E9QNN9
GCFC2	"GC-rich sequence DNA-binding factor 2"	6936	312474	330361	C2ORF3|DNABF|GCF|TCF9	yes	11432838	A4UHQ8,P16383,B3KUM5,A4UHR0,Q9BVX3	D4A3Z4	Q8BKT3
GCM1	"glial cells missing homolog 1 (Drosophila)"	8521	29394	14531	GCMA|HGCMA	yes	15385555	Q9NP62	Q9Z288	P70348,Q3UQD1
GCM2	"glial cells missing homolog 2 (Drosophila)"	9247	291047	107889	GCMB|HGCMB	0	0	O75603,D3GDV6	D3ZXW4	O09102
GFI1	"growth factor independent 1 transcription repressor"	2672	24388	14581	GFI-1|GFI1A|SCN2|ZNF163	yes	8754800	B3KVN4,Q99684	Q07120	P70338,H3BJM0
GFI1B	"growth factor independent 1B transcription repressor"	8328	311832	14582	-	yes	"8754800, 22201127"	Q5VTD9	B0BN50	B7ZNH2,O70237
GLI1	"GLI family zinc finger 1"	2735	140589	14632	GLI	yes	"10559945, 11719506"	F5H6H8,B4DNF7,P08151	G3V6X8	P47806
GLI2	"GLI family zinc finger 2"	2736	304729	14633	HPE9|THP1|THP2	yes	21095584	Q1PSW9,P10070,Q59FV5		Q0VGT2
GLI3	"GLI family zinc finger 3"	2737	140588	14634	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	yes	"10433919, 16396903"	P10071		B2RUG4,Q61602,Q3TYX7
GLI4	"GLI family zinc finger 4"	2738	500893	100043133	HKR4|ZNF928	0	0	P10075	Q4QR79	Q8BG98
GLIS1	"GLIS family zinc finger 1"	148979	298732	230587	-	yes	12042312	Q8NBF1		A2A8S1,Q8K1M4
GLIS2	"GLIS family zinc finger 2"	84662	302946	83396	NKL|NPHP7	yes	21127075	Q9BZE0	D3ZIA9	Q8VDL9
GLIS3	"GLIS family zinc finger 3"	169792	0	226075	ZNF515	yes	19264802	Q1PHJ8,Q8NEA6		Q0GE24
GLYR1	"glyoxylate reductase 1 homolog (Arabidopsis)"	84656	360477	74022	BM045|HIBDL|N-PAC|NP60	0	0	Q49A26	Q5RKH0	Q922P9,D3YYT1
GM5294	"predicted gene 5294"	0	0	384244	EG384244	0	0			J3QP53
GMEB1	"glucocorticoid modulatory element binding protein 1"	10691	500558	56809	P96PIF|PIF96	yes	12702733	B2RCN8,B1AT47,Q9Y692	Q9QUZ8	Q3UYV4,Q9JL60
GMEB2	"glucocorticoid modulatory element binding protein 2"	26205	83635	229004	P79PIF|PIF79	yes	"10894151, 14705952"	Q9UKD1	O88873	A2AS06,P58929
GON4L	"gon-4-like (C. elegans)"	54856	499653	76022	GON-4|GON4|RP11-243J18.4|YARP	0	0	Q6PHZ4,Q3T8J9	Q535K8	E9Q507,Q32NZ8
GPATCH8	"G patch domain containing 8"	23131	685233	237943	GPATC8|KIAA0553	0	0	Q9UKJ3		A2A6A1
GPBP1	"GC-rich promoter binding protein 1"	65056	294734	73274	GPBP|SSH6|VASCULIN	0	0	Q86WP2	H9BFG8	Q6NXH3
GPBP1L1	"GC-rich promoter binding protein 1-like 1"	60313	313519	77110	RP11-767N6.1	0	0	Q9HC44	Q3KR53	B1AU79,Q6NZP2
GPER1	"G protein-coupled estrogen receptor 1"	2852	171104	76854	"CEPR|CMKRL2| DRY12| FEG-1| GPCR-Br| GPER| GPR30| LERGU| LERGU2| LyGPR| mER"	yes	23283935			
GPR123	"G protein-coupled receptor 123"	84435	309097	52389	-	0	0	Q86SQ6		Q8C4G9,Q6PHM3
GPR155	"G protein-coupled receptor 155"	151556	311730	68526	DEP.7|DEPDC3|PGR22	0	0	Q49AJ5,Q7Z3F1	D3ZWM3	Q14BN5,A2AWR3
GPS2	"G protein pathway suppressor 2"	2874	497941	56310	AMF-1	0	0	Q13227	Q5XII2	Q921N8
GREB1	"growth regulation by estrogen in breast cancer 1"	9687	0	268527	-	0	0	Q4ZG55		E0CXG4,Q3UHK3
GRHL1	"grainyhead-like 1 (Drosophila)"	29841	313993	195733	LBP32|MGR|NH32|TFCP2L2	yes	12175488	Q9NZI5	D3ZZW4	E9QMF0,Q921D9
GRHL2	"grainyhead-like 2 (Drosophila)"	79977	299979	252973	BOM|DFNA28|TFCP2L3	yes	20978075	Q6ISB3	B5DEI9	Q8K5C0
GRHL3	"grainyhead-like 3 (Drosophila)"	57822	298555	230824	SOM|TFCP2L4	yes	15831758	B2RCL1,Q8TE85,A2A297,G3XAF0	D4A1E5	Q5FWH3
GRM6	"glutamate receptor, metabotropic 6"	2916	24419	108072	CSNB1B|GPRC1F|MGLUR6|MGLU6	0	0	O15303	P35349	Q8CFQ7,Q5NCH9,A7MD55
GSC	"goosecoid homeobox"	145258	317715	14836	-	yes	"9417125, 10542273"	P56915	G3V7E7	Q02591
GSC2	"goosecoid homeobox 2"	2928	363831	195333	GSCL	yes	9700206	O15499	D3Z9R9	A2RTU1
GSX1	"GS homeobox 1"	219409	288457	14842	GSH1|GSH-1	yes	11731616	Q9H4S2	G3V634	B2RQ55,P31315
GSX2	"GS homeobox 2"	170825	364140	14843	GSH2	yes	7619729	B2LYG3,Q9BZM3	B6RGM1	P31316
GTF2A1	"general transcription factor IIA, 1, 19/37kDa"	2957	83830	83602	TF2A1|TFIIA|TFIIA-42|TFIIAL	0	0	P52655	O08949	Q0VGZ0,Q99PM3,Q149E9
GTF2A1L	"general transcription factor IIA, 1-like"	11036	316711	71828	ALF	0	0	Q9UNN4	Q641W8	Q8R4I4
GTF2A2	"general transcription factor IIA, 2, 12kDa"	2958	83828	235459	HST18745|TF2A2|TFIIA	0	0	B2R506,P52657	O08950	Q3TN86,Q80ZM7,Q3UT44,Q3TE88
GTF2B	"general transcription factor IIB"	2959	81673	229906	TF2B|TFIIB	0	0	Q00403	P62916	Q3ULN2,P62915
GTF2E1	"general transcription factor IIE, polypeptide 1, alpha 56kDa"	2960	303918	74197	FE|TF2E1|TFIIE-A	0	0	P29083	Q4FZQ9,G3V992	Q9D0D5
